MovieID,rating,Genres
Confessional,3.21, The (Le Confessionnal) (1995)
Indian in the Cupboard,3.0, The (1995)
Eye for an Eye (1996),3.7,Drama|Thriller
Mr. Holland's Opus (1995),2.86,Drama
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.27,Comedy
Two if by Sea (1996),2.06,Comedy|Romance
Bio-Dome (1996),1.67,Comedy
Lawnmower Man 2: Beyond Cyberspace (1996),3.25,Sci-Fi|Thriller
Two Bits (1995),3.45,Drama
French Twist (Gazon maudit) (1995),3.66,Comedy|Romance
Friday (1995),3.16,Comedy
From Dusk Till Dawn (1996),2.1,Action|Comedy|Crime|Horror|Thriller
Fair Game (1995),3.63,Action
Kicking and Screaming (1995),3.82,Comedy|Drama
Mis?ables,2.97, Les (1995)
Bed of Roses (1996),1.92,Drama|Romance
Big Bully (1996),2.85,Comedy|Drama
Screamers (1995),3.76,Sci-Fi|Thriller
Nico Icon (1995),3.26,Documentary
Crossing Guard,2.61, The (1995)
Juror,3.83, The (1996)
White Balloon,3.16, The (Badkonake Sefid ) (1995)
Things to Do in Denver when You're Dead (1995),3.88,Crime|Drama|Romance
Antonia's Line (Antonia) (1995),3.7,Drama
Once Upon a Time... When We Were Colored (1995),3.1,Drama
Last Summer in the Hamptons (1995),3.4,Comedy|Drama
Angels and Insects (1995),3.39,Drama|Romance
White Squall (1996),2.21,Adventure|Drama
Dunston Checks In (1996),2.94,Children's|Comedy
Black Sheep (1996),3.07,Comedy
Nick of Time (1995),3.67,Action|Thriller
Journey of August King,2.34, The (1995)
Mary Reilly (1996),2.24,Drama|Thriller
Vampire in Brooklyn (1995),3.73,Comedy|Romance
Beautiful Girls (1996),2.88,Drama
Broken Arrow (1996),3.92,Action|Thriller
In the Bleak Midwinter (1995),3.75,Comedy
Hate (Haine,2.0, La) (1995)
Shopping (1994),3.46,Action|Thriller
Heidi Fleiss: Hollywood Madam (1995),3.06,Documentary
City Hall (1996),3.87,Drama|Thriller
Bottle Rocket (1996),1.82,Comedy
Mr. Wrong (1996),3.21,Comedy
Unforgettable (1996),3.53,Thriller
Happy Gilmore (1996),3.23,Comedy
Bridges of Madison County,3.58, The (1995)
Nobody Loves Me (Keiner liebt mich) (1994),3.15,Comedy|Drama
Muppet Treasure Island (1996),2.86,Adventure|Children's|Comedy|Musical
Catwalk (1995),4.23,Documentary
Headless Body in Topless Bar (1995),4.18,Comedy
Braveheart (1995),3.44,Action|Drama|War
Taxi Driver (1976),2.98,Drama|Thriller
Rumble in the Bronx (1995),3.09,Action|Adventure|Crime
Before and After (1996),4.1,Drama|Mystery
Margaret's Museum (1995),3.63,Drama
Happiness Is in the Field (1995),3.07,Comedy
Anne Frank Remembered (1995),2.46,Documentary
Young Poisoner's Handbook,2.67, The (1995)
If Lucy Fell (1996),4.05,Comedy|Romance
Steal Big,2.77, Steal Little (1995)
Race the Sun (1996),3.87,Drama
Boys of St. Vincent,3.21, The (1993)
Boomerang (1992),3.83,Comedy|Romance
Chungking Express (1994),1.99,Drama|Mystery|Romance
Star Maker,1.0, The (Uomo delle stelle
Flirting With Disaster (1996),4.33,Comedy
NeverEnding Story III,3.31, The (1994)
Silence of the Palace,4.0, The (Saimt el Qusur) (1994)
Jupiter's Wife (1994),3.06,Documentary
Pie in the Sky (1995),2.49,Comedy|Romance
Angela (1995),1.0,Drama
Frankie Starlight (1995),4.0,Drama|Romance
Jade (1995),2.81,Thriller
Nueba Yol (1995),3.25,Comedy|Drama
Sonic Outlaws (1995),3.0,Documentary
Down Periscope (1996),2.5,Comedy
From the Journals of Jean Seberg (1995),4.0,Documentary
Man of the Year (1995),3.17,Documentary
Neon Bible,3.55, The (1995)
Target (1995),1.0,Action|Drama
Up Close and Personal (1996),3.39,Drama|Romance
Birdcage,3.3, The (1996)
Shadows (Cienie) (1988),2.89,Drama
Gospa (1995),3.54,Drama
Brothers McMullen,2.78, The (1995)
Bad Boys (1995),3.79,Action
Amazing Panda Adventure,4.07, The (1995)
Basketball Diaries,3.59, The (1995)
Awfully Big Adventure,3.0, An (1995)
Amateur (1994),2.64,Crime|Drama|Thriller
Apollo 13 (1995),3.73,Drama
Rob Roy (1995),3.41,Drama|Romance|War
Addiction,3.56, The (1995)
Batman Forever (1995),2.73,Action|Adventure|Comedy|Crime
Belle de jour (1967),2.98,Drama
Beyond Rangoon (1995),3.28,Drama|War
Blue in the Face (1995),2.24,Comedy
Canadian Bacon (1994),3.72,Comedy|War
Casper (1995),4.06,Adventure|Children's
Clockers (1995),3.46,Drama
Congo (1995),3.57,Action|Adventure|Mystery|Sci-Fi
Crimson Tide (1995),3.56,Drama|Thriller|War
Crumb (1994),2.46,Documentary
Desperado (1995),3.6,Action|Romance|Thriller
Devil in a Blue Dress (1995),2.95,Crime|Film-Noir|Mystery|Thriller
Die Hard: With a Vengeance (1995),2.02,Action|Thriller
Doom Generation,3.15, The (1995)
Feast of July (1995),3.57,Drama
First Knight (1995),2.58,Action|Adventure|Drama|Romance
Free Willy 2: The Adventure Home (1995),2.31,Adventure|Children's|Drama
Hackers (1995),2.31,Action|Crime|Thriller
Jeffrey (1995),3.48,Comedy
Johnny Mnemonic (1995),3.92,Action|Sci-Fi|Thriller
Judge Dredd (1995),2.73,Action|Adventure|Sci-Fi
Jury Duty (1995),3.47,Comedy
Kids (1995),2.21,Drama
Living in Oblivion (1995),3.55,Comedy
Lord of Illusions (1995),1.61,Horror
Love & Human Remains (1993),3.14,Comedy
Mad Love (1995),3.48,Drama|Romance
Mallrats (1995),3.35,Comedy
Mighty Morphin Power Rangers: The Movie (1995),2.87,Action|Children's
Moonlight and Valentino (1995),2.76,Drama|Romance
Mute Witness (1994),3.24,Thriller
Nadja (1994),3.22,Drama
Net,3.4, The (1995)
Nine Months (1995),3.75,Comedy
Party Girl (1995),2.47,Comedy
Prophecy,3.0, The (1995)
Reckless (1995),2.05,Comedy
Safe (1995),3.76,Thriller
Scarlet Letter,2.84, The (1995)
Show,2.82, The (1995)
Showgirls (1995),3.06,Drama
Smoke (1995),3.3,Drama
Something to Talk About (1995),3.81,Comedy|Drama|Romance
Species (1995),2.42,Horror|Sci-Fi
Stars Fell on Henrietta,2.64, The (1995)
Strange Days (1995),2.5,Action|Crime|Sci-Fi
Umbrellas of Cherbourg,3.05, The (Parapluies de Cherbourg
Tie That Binds,2.92, The (1995)
Three Wishes (1995),3.61,Drama
Total Eclipse (1995),3.67,Drama|Romance
To Wong Foo,3.13, Thanks for Everything! Julie Newmar (1995)
Under Siege 2: Dark Territory (1995),2.63,Action
Unstrung Heroes (1995),2.46,Comedy|Drama
Unzipped (1995),3.15,Documentary
Walk in the Clouds,3.56, A (1995)
Waterworld (1995),1.93,Action|Adventure
White Man's Burden (1995),4.06,Drama
Wild Bill (1995),4.25,Western
Browning Version,3.81, The (1994)
Bushwhacked (1995),3.18,Comedy
Burnt By the Sun (Utomlyonnye solntsem) (1994),2.62,Drama
Before the Rain (Pred dozhdot) (1994),3.13,Drama
Before Sunrise (1995),3.18,Drama|Romance
Billy Madison (1995),1.82,Comedy
Babysitter,3.55, The (1995)
Boys on the Side (1995),3.95,Comedy|Drama
Cure,3.39, The (1995)
Castle Freak (1995),3.17,Horror
Circle of Friends (1995),2.0,Drama|Romance
Clerks (1994),2.67,Comedy
Don Juan DeMarco (1995),2.15,Comedy|Drama|Romance
Disclosure (1994),3.5,Drama|Thriller
Dream Man (1995),3.45,Thriller
Drop Zone (1994),3.19,Action
Destiny Turns on the Radio (1995),4.08,Comedy
Death and the Maiden (1994),3.61,Drama|Thriller
Dolores Claiborne (1994),2.22,Drama|Thriller
Dumb & Dumber (1994),3.7,Comedy
Eat Drink Man Woman (1994),3.3,Comedy|Drama
Exotica (1994),2.97,Drama
Exit to Eden (1994),2.81,Comedy
Ed Wood (1994),2.88,Comedy|Drama
French Kiss (1995),2.71,Comedy|Romance
Forget Paris (1995),3.31,Comedy|Romance
Far From Home: The Adventures of Yellow Dog (1995),3.5,Adventure|Children's
Goofy Movie,2.1, A (1995)
Hideaway (1995),1.9,Thriller
Fluke (1995),3.0,Children's|Drama
Farinelli: il castrato (1994),4.19,Drama|Musical
Gordy (1995),3.87,Comedy
Gumby: The Movie (1995),2.91,Animation|Children's
Glass Shield,3.76, The (1994)
Hoop Dreams (1994),2.6,Documentary
Heavenly Creatures (1994),3.28,Drama|Fantasy|Romance|Thriller
Houseguest (1994),3.27,Comedy
Immortal Beloved (1994),3.52,Drama|Romance
Heavyweights (1994),3.08,Children's|Comedy
Hunted,2.06, The (1995)
I.Q. (1994),2.65,Comedy|Romance
Interview with the Vampire (1994),3.23,Drama|Horror
Jefferson in Paris (1995),2.42,Drama
Jerky Boys,2.84, The (1994)
Junior (1994),4.45,Comedy|Sci-Fi
Just Cause (1995),3.65,Mystery|Thriller
Kid in King Arthur's Court,3.87, A (1995)
Kiss of Death (1995),3.86,Crime|Drama|Thriller
Star Wars: Episode IV - A New Hope (1977),3.2,Action|Adventure|Fantasy|Sci-Fi
Little Women (1994),3.93,Drama
Little Princess,3.43, A (1995)
Ladybird Ladybird (1994),2.73,Drama
Enfer,3.37, L' (1994)
Like Water for Chocolate (Como agua para chocolate) (1992),3.53,Drama|Romance
Legends of the Fall (1994),3.04,Drama|Romance|War|Western
Major Payne (1994),3.14,Comedy
Little Odessa (1994),3.73,Drama
My Crazy Life (Mi vida loca) (1993),2.9,Drama
Love Affair (1994),2.38,Drama|Romance
Losing Isaiah (1995),2.54,Drama
Madness of King George,2.69, The (1994)
Mary Shelley's Frankenstein (1994),3.18,Drama|Horror
Man of the House (1995),2.75,Comedy
Mixed Nuts (1994),3.72,Comedy
Milk Money (1994),3.57,Comedy|Romance
Miracle on 34th Street (1994),3.65,Drama
Miami Rhapsody (1995),3.22,Comedy
My Family (1995),3.0,Drama
Murder in the First (1995),3.0,Drama|Thriller
Nobody's Fool (1994),2.9,Drama
Nell (1994),3.14,Drama
New Jersey Drive (1995),3.34,Crime|Drama
New York Cop (1996),3.92,Action|Crime
Beyond Bedlam (1993),2.21,Drama|Horror
Nemesis 2: Nebula (1995),3.27,Action|Sci-Fi|Thriller
Nina Takes a Lover (1994),4.11,Comedy|Romance
Natural Born Killers (1994),3.1,Action|Thriller
Only You (1994),2.76,Comedy|Romance
Once Were Warriors (1994),4.28,Crime|Drama
Poison Ivy II (1995),3.11,Thriller
Outbreak (1995),3.91,Action|Drama|Thriller
Professional,3.66, The (a.k.a. Leon: The Professional) (1994)
Perez Family,3.76, The (1995)
Pyromaniac's Love Story,3.3, A (1995)
Pulp Fiction (1994),3.81,Crime|Drama
Panther (1995),2.98,Drama
Pushing Hands (1992),3.14,Comedy
Priest (1994),2.5,Drama
Quiz Show (1994),4.23,Drama
Picture Bride (1995),4.1,Drama|Romance
Queen Margot (La Reine Margot) (1994),3.97,Drama|Romance
Quick and the Dead,3.69, The (1995)
Roommates (1995),2.67,Comedy|Drama
Ready to Wear (Pret-A-Porter) (1994),3.0,Comedy
Three Colors: Red (1994),2.44,Drama
Three Colors: Blue (1993),2.89,Drama
Three Colors: White (1994),3.85,Drama
Red Firecracker,2.65, Green Firecracker (1994)
Rent-a-Kid (1995),3.49,Comedy
Relative Fear (1994),3.19,Horror|Thriller
Stuart Saves His Family (1995),4.55,Comedy
Swan Princess,3.89, The (1994)
Secret of Roan Inish,3.41, The (1994)
Specialist,3.75, The (1994)
Stargate (1994),3.71,Action|Adventure|Sci-Fi
Santa Clause,3.97, The (1994)
Shawshank Redemption,2.45, The (1994)
Shallow Grave (1994),4.34,Thriller
Suture (1993),2.61,Film-Noir|Thriller
Strawberry and Chocolate (Fresa y chocolate) (1993),3.11,Drama
Swimming with Sharks (1995),3.38,Comedy|Drama
Sum of Us,2.73, The (1994)
National Lampoon's Senior Trip (1995),3.1,Comedy
To Live (Huozhe) (1994),2.55,Drama
Tank Girl (1995),3.5,Action|Comedy|Musical|Sci-Fi
Tales From the Crypt Presents: Demon Knight (1995),3.86,Horror
Star Trek: Generations (1994),3.49,Action|Adventure|Sci-Fi
Tales from the Hood (1995),2.68,Comedy|Horror
Tom & Viv (1994),3.84,Drama
Village of the Damned (1995),2.88,Horror|Sci-Fi
Tommy Boy (1995),3.5,Comedy
Vanya on 42nd Street (1994),3.27,Drama
Underneath,3.84, The (1995)
Walking Dead,3.68, The (1995)
What's Eating Gilbert Grape (1993),2.43,Drama
Virtuosity (1995),3.15,Sci-Fi|Thriller
While You Were Sleeping (1995),3.81,Comedy|Romance
War,3.53, The (1994)
Double Happiness (1994),3.17,Drama
Muriel's Wedding (1994),3.7,Comedy|Romance
Baby-Sitters Club,3.73, The (1995)
Ace Ventura: Pet Detective (1994),3.39,Comedy
Adventures of Priscilla,3.34, Queen of the Desert
Backbeat (1993),3.13,Drama|Musical
Bitter Moon (1992),3.45,Drama
Bullets Over Broadway (1994),3.18,Comedy
Clear and Present Danger (1994),2.35,Action|Adventure|Thriller
Client,4.09, The (1994)
Corrina,3.74, Corrina (1994)
Crooklyn (1994),3.17,Comedy
Crow,3.21, The (1994)
Cobb (1994),2.5,Drama
Flintstones,3.42, The (1994)
Forrest Gump (1994),3.36,Comedy|Romance|War
Four Weddings and a Funeral (1994),4.26,Comedy|Romance
Higher Learning (1995),3.86,Drama
I Like It Like That (1994),3.17,Comedy|Drama|Romance
I Love Trouble (1994),2.82,Action|Comedy
It Could Happen to You (1994),3.28,Drama|Romance
Jungle Book,3.52, The (1994)
Wonderful,3.31, Horrible Life of Leni Riefenstahl
Lion King,2.9, The (1994)
Little Buddha (1993),3.18,Drama
Wes Craven's New Nightmare (1994),3.15,Horror
Mask,3.86, The (1994)
Maverick (1994),2.11,Action|Comedy|Western
Mrs. Parker and the Vicious Circle (1994),3.29,Drama
Naked Gun 33 1/3: The Final Insult (1994),3.25,Comedy
Paper,3.57, The (1994)
Reality Bites (1994),2.89,Comedy|Drama
Red Rock West (1992),2.89,Thriller
Richie Rich (1994),3.63,Children's|Comedy
Safe Passage (1994),3.26,Drama
River Wild,2.93, The (1994)
Speed (1994),3.27,Action|Romance|Thriller
Speechless (1994),2.9,Comedy|Romance
Timecop (1994),3.4,Action|Sci-Fi
True Lies (1994),2.6,Action|Adventure|Comedy|Romance
When a Man Loves a Woman (1994),2.75,Drama
Wolf (1994),3.64,Drama|Horror
Wyatt Earp (1994),3.7,Western
Bad Company (1995),3.54,Action
Man of No Importance,3.28, A (1994)
S.F.W. (1994),2.8,Drama
Low Down Dirty Shame,1.86, A (1994)
Boys Life (1995),3.67,Drama
Colonel Chabert,4.0, Le (1994)
Faster Pussycat! Kill! Kill! (1965),2.42,Action|Comedy|Drama
Jason's Lyric (1994),4.0,Crime|Drama
Secret Adventures of Tom Thumb,3.0, The (1993)
Street Fighter (1994),3.0,Action
Coldblooded (1995),3.75,Action
Desert Winds (1995),2.12,Drama
Fall Time (1995),3.62,Drama
Fear,2.91, The (1995)
Frank and Ollie (1995),3.32,Documentary
Girl in the Cadillac (1995),3.02,Drama
Homage (1995),2.91,Drama
Mirage (1995),2.62,Action|Thriller
Open Season (1996),3.56,Comedy
Two Crimes (1995),2.53,Comedy|Crime|Drama
Brother Minister: The Assassination of Malcolm X (1994),2.66,Documentary
Highlander III: The Sorcerer (1994),2.48,Action|Sci-Fi
Federal Hill (1994),2.43,Drama
In the Mouth of Madness (1995),3.49,Horror|Thriller
8 Seconds (1994),2.52,Drama
Above the Rim (1994),2.19,Drama
Addams Family Values (1993),2.51,Comedy
You So Crazy (1994),3.36,Comedy
Age of Innocence,3.12, The (1993)
Airheads (1994),3.11,Comedy
Air Up There,2.6, The (1994)
Another Stakeout (1993),3.61,Comedy|Thriller
Bad Girls (1994),3.08,Western
Barcelona (1994),2.37,Comedy|Romance
Being Human (1993),3.93,Drama
Beverly Hillbillies,2.38, The (1993)
Beverly Hills Cop III (1994),2.42,Action|Comedy
Black Beauty (1994),3.69,Adventure|Children's
Blink (1994),2.58,Thriller
Blown Away (1994),2.79,Action|Thriller
Blue Chips (1994),3.08,Drama
Blue Sky (1994),2.61,Drama|Romance
Body Snatchers (1993),2.65,Horror|Sci-Fi|Thriller
Boxing Helena (1993),2.05,Mystery|Romance|Thriller
Bronx Tale,2.62, A (1993)
Cabin Boy (1994),4.5,Comedy
Calendar Girl (1993),3.81,Drama
Carlito's Way (1993),3.69,Crime|Drama
City Slickers II: The Legend of Curly's Gold (1994),2.99,Comedy|Western
Clean Slate (1994),3.39,Comedy
Cliffhanger (1993),2.3,Action|Adventure|Crime
Coneheads (1993),2.61,Comedy|Sci-Fi
Color of Night (1994),4.08,Drama|Thriller
Cops and Robbersons (1994),2.48,Comedy
Cowboy Way,3.6, The (1994)
Dangerous Game (1993),3.66,Drama
Dave (1993),3.28,Comedy|Romance
Dazed and Confused (1993),3.15,Comedy
Demolition Man (1993),3.29,Action|Sci-Fi
Endless Summer 2,3.22, The (1994)
Even Cowgirls Get the Blues (1993),3.55,Comedy|Romance
Fatal Instinct (1993),2.59,Comedy
Farewell My Concubine (1993),4.0,Drama|Romance
Favor,4.1, The (1994)
Fearless (1993),3.28,Drama
Fear of a Black Hat (1993),2.83,Comedy
With Honors (1994),2.26,Comedy|Drama
Flesh and Bone (1993),3.28,Drama|Mystery|Romance
Widows' Peak (1994),2.64,Drama
For Love or Money (1993),2.74,Comedy
Firm,2.78, The (1993)
Free Willy (1993),3.31,Adventure|Children's|Drama
Fresh (1994),2.8,Drama
Fugitive,3.2, The (1993)
Geronimo: An American Legend (1993),3.27,Drama|Western
Getaway,2.96, The (1994)
Getting Even with Dad (1994),1.74,Comedy
Go Fish (1994),3.63,Drama|Romance
Good Man in Africa,2.7, A (1994)
Guilty as Sin (1993),2.23,Crime|Drama|Thriller
Hard Target (1993),3.83,Action|Adventure|Crime|Thriller
Heaven & Earth (1993),3.9,Action|Drama|War
Hot Shots! Part Deux (1993),2.69,Action|Comedy|War
Live Nude Girls (1995),3.47,Comedy
Englishman Who Went Up a Hill,2.46, But Came Down a Mountain
House of the Spirits,2.8, The (1993)
House Party 3 (1994),3.76,Comedy
Hudsucker Proxy,3.38, The (1994)
I'll Do Anything (1994),3.53,Comedy|Drama
In the Army Now (1994),3.74,Comedy|War
In the Line of Fire (1993),2.66,Action|Thriller
In the Name of the Father (1993),2.51,Drama
Inkwell,2.81, The (1994)
What's Love Got to Do with It? (1993),2.61,Drama
Jimmy Hollywood (1994),3.38,Comedy
Judgment Night (1993),2.47,Action
Jurassic Park (1993),3.32,Action|Adventure|Sci-Fi
Kalifornia (1993),3.32,Drama|Thriller
Killing Zoe (1994),3.72,Thriller
King of the Hill (1993),3.61,Drama
Lassie (1994),3.35,Adventure|Children's
Last Action Hero (1993),3.38,Action|Comedy
Life with Mikey (1993),3.22,Comedy
Lightning Jack (1994),4.0,Comedy|Western
M. Butterfly (1993),2.74,Drama
Made in America (1993),2.76,Comedy
Malice (1993),3.42,Thriller
Man Without a Face,3.61, The (1993)
Manhattan Murder Mystery (1993),1.94,Comedy|Mystery
Menace II Society (1993),3.69,Action|Crime|Drama
Executive Decision (1996),2.96,Action|Thriller
In the Realm of the Senses (Ai no corrida) (1976),2.49,Drama
What Happened Was... (1994),3.49,Comedy|Drama|Romance
Much Ado About Nothing (1993),3.52,Comedy|Romance
Mr. Jones (1993),3.89,Drama|Romance
Mr. Wonderful (1993),3.67,Comedy|Romance
Mrs. Doubtfire (1993),2.4,Comedy
Naked (1993),3.11,Drama
Next Karate Kid,2.87, The (1994)
New Age,3.12, The (1994)
No Escape (1994),3.53,Action|Sci-Fi
North (1994),3.92,Comedy
Orlando (1993),2.87,Drama
Perfect World,3.18, A (1993)
Philadelphia (1993),2.46,Drama
Piano,1.94, The (1993)
Poetic Justice (1993),2.93,Drama
Program,3.37, The (1993)
Robert A. Heinlein's The Puppet Masters (1994),3.57,Horror|Sci-Fi
Radioland Murders (1994),3.66,Comedy|Mystery|Romance
Ref,3.62, The (1994)
Remains of the Day,3.19, The (1993)
Renaissance Man (1994),2.5,Comedy|Drama|War
Rising Sun (1993),4.51,Action|Drama|Mystery
Road to Wellville,2.51, The (1994)
Robocop 3 (1993),3.98,Sci-Fi|Thriller
Robin Hood: Men in Tights (1993),3.5,Comedy
Romeo Is Bleeding (1993),3.77,Crime|Thriller
Romper Stomper (1992),3.05,Action|Drama
Ruby in Paradise (1993),2.73,Drama
Rudy (1993),3.84,Drama
Saint of Fort Washington,3.82, The (1993)
Savage Nights (Nuits fauves,3.16, Les) (1992)
Schindler's List (1993),3.08,Drama|War
Scout,3.82, The (1994)
Searching for Bobby Fischer (1993),3.76,Drama
Second Best (1994),2.22,Drama
Secret Garden,4.27, The (1993)
Serial Mom (1994),2.67,Comedy|Crime|Horror
Shadow,3.38, The (1994)
Shadowlands (1993),2.64,Drama|Romance
Short Cuts (1993),2.0,Drama
Simple Twist of Fate,1.87, A (1994)
Sirens (1994),2.88,Comedy|Drama
Six Degrees of Separation (1993),2.55,Drama
Sleepless in Seattle (1993),3.82,Comedy|Romance
Sliver (1993),3.02,Thriller
Blade Runner (1982),3.72,Film-Noir|Sci-Fi
Son in Law (1993),3.24,Comedy
So I Married an Axe Murderer (1993),3.87,Comedy|Romance|Thriller
Striking Distance (1993),2.62,Action
Harlem (1993),3.93,Drama
Super Mario Bros. (1993),4.23,Action|Adventure|Children's|Sci-Fi
Surviving the Game (1994),4.5,Action|Adventure|Thriller
Terminal Velocity (1994),2.7,Action
Thirty-Two Short Films About Glenn Gould (1993),3.0,Documentary
Threesome (1994),3.62,Comedy|Romance
Nightmare Before Christmas,3.62, The (1993)
Three Musketeers,3.8, The (1993)
Tombstone (1993),3.24,Western
Trial by Jury (1994),2.27,Thriller
True Romance (1993),3.13,Action|Crime|Romance
War Room,2.92, The (1993)
Mamma Roma (1962),3.57,Drama
Pagemaster,3.86, The (1994)
Paris,2.93, France (1993)
Beans of Egypt,3.22, Maine
Killer (Bulletproof Heart) (1994),3.59,Thriller
Welcome to the Dollhouse (1995),3.0,Comedy|Drama
Germinal (1993),3.52,Drama
Chasers (1994),3.45,Comedy
Cronos (1992),2.82,Horror
Naked in New York (1994),3.0,Comedy|Romance
Kika (1993),2.96,Drama
Bhaji on the Beach (1993),4.5,Comedy|Drama
Little Big League (1994),2.0,Children's|Comedy
Slingshot,3.24, The (K?isbellan ) (1993)
Wedding Gift,4.05, The (1994)
Foreign Student (1994),3.0,Drama
Ciao,3.68, Professore! (Io speriamo che me la cavo ) (1993)
Spanking the Monkey (1994),4.0,Comedy|Drama
Little Rascals,2.91, The (1994)
Fausto (1993),3.13,Comedy
Andre (1994),3.5,Adventure|Children's
Hour of the Pig,3.79, The (1993)
Scorta,4.06, La (1993)
Princess Caraboo (1994),3.92,Drama
Celluloid Closet,2.0, The (1995)
Metisse (Caf?au Lait) (1993),3.6,Comedy
Dear Diary (Caro Diario) (1994),4.35,Comedy|Drama
I Don't Want to Talk About It (De eso no se habla) (1993),3.85,Drama
Brady Bunch Movie,3.89, The (1995)
Home Alone (1990),3.75,Children's|Comedy
Ghost (1990),3.64,Comedy|Romance|Thriller
Aladdin (1992),4.25,Animation|Children's|Comedy|Musical
Terminator 2: Judgment Day (1991),4.09,Action|Sci-Fi|Thriller
Dances with Wolves (1990),3.0,Adventure|Drama|Western
Tough and Deadly (1995),3.0,Action|Drama|Thriller
Batman (1989),4.12,Action|Adventure|Crime|Drama
Silence of the Lambs,3.0, The (1991)
Snow White and the Seven Dwarfs (1937),3.31,Animation|Children's|Musical
Beauty and the Beast (1991),2.23,Animation|Children's|Musical
Pinocchio (1940),2.0,Animation|Children's
Pretty Woman (1990),4.25,Comedy|Romance
Window to Paris (1994),2.78,Comedy
Wild Bunch,3.55, The (1969)
Love and a .45 (1994),2.47,Thriller
Wooden Man's Bride,2.41, The (Wu Kui) (1994)
Great Day in Harlem,3.63, A (1994)
Bye Bye,2.67, Love (1995)
Criminals (1996),4.04,Documentary
One Fine Day (1996),3.35,Drama|Romance
Candyman: Farewell to the Flesh (1995),3.65,Horror
Century (1993),2.11,Drama
Fargo (1996),2.59,Crime|Drama|Thriller
Homeward Bound II: Lost in San Francisco (1996),3.71,Adventure|Children's
Heavy Metal (1981),3.0,Action|Adventure|Animation|Horror|Sci-Fi
Hellraiser: Bloodline (1996),4.0,Action|Horror|Sci-Fi
Pallbearer,2.26, The (1996)
Jane Eyre (1996),3.6,Drama|Romance
Loaded (1994),3.9,Drama|Thriller
Bread and Chocolate (Pane e cioccolata) (1973),2.86,Drama
Aristocats,2.08, The (1970)
Flower of My Secret,4.0, The (La Flor de Mi Secreto) (1995)
Two Much (1996),3.6,Comedy|Romance
Ed (1996),1.67,Comedy
Scream of Stone (Schrei aus Stein) (1991),3.62,Drama
My Favorite Season (1993),2.54,Drama
Modern Affair,3.21, A (1995)
Condition Red (1995),2.62,Action|Drama|Thriller
Asfour Stah (1990),2.68,Drama
Thin Line Between Love and Hate,1.0, A (1996)
Last Supper,2.0, The (1995)
Primal Fear (1996),2.0,Drama|Thriller
Rude (1995),2.0,Drama
Carried Away (1996),3.6,Drama|Romance
All Dogs Go to Heaven 2 (1996),3.55,Animation|Children's|Musical
